City;Country;Date;Confirmed;Investigation;Discarded;Deaths;State
Campinas;Brazil;2020-04-22;199;512;892;10;SP
Campinas;Brazil;2020-04-21;177;986;420;8;SP
Campinas;Brazil;2020-04-18;177;986;420;8;SP
Campinas;Brazil;2020-04-17;163;1082;280;7;SP
Campinas;Brazil;2020-04-16;152;1129;205;7;SP
Campinas;Brazil;2020-04-08;85;956;139;5;SP
Campinas;Brazil;2020-04-07;70;924;113.0;4.0;SP
Campinas;Brazil;2020-04-06;68;882.0;106.0;4.0;SP
Campinas;Brazil;2020-04-05;65;829.0;100.0;4.0;SP
Campinas;Brazil;2020-04-04;65;829.0;100.0;4.0;SP
Campinas;Brazil;2020-04-03;53;796.0;92.0;3.0;SP
Campinas;Brazil;2020-04-02;23;;;1.0;SP
Campinas;Brazil;2020-04-01;22;;;1.0;SP
Campinas;Brazil;2020-03-31;15;;;1.0;SP
Campinas;Brazil;2020-03-30;11;;;0.0;SP
Campinas;Brazil;2020-03-27;5;;;0.0;SP
Campinas;Brazil;2020-03-26;4;;;0.0;SP
Campinas;Brazil;2020-03-25;4;;;0.0;SP
Campinas;Brazil;2020-03-20;1;;;;SP
Campinas;Brazil;2020-03-19;1;;;;SP
Campinas;Brazil;2020-03-18;1;;;;SP
São Paulo;Brazil;2020-04-04;3202;;;186.0;SP
Brasília;Brazil;2020-04-04;456;;;7.0;DF
Brasília;Brazil;2020-04-03;419;;;6.0;DF
Maceió;Brazil;2020-04-04;17;;;2.0;AL
Maceió;Brazil;2020-04-03;17;;;2.0;AL
São Paulo;Brazil;2020-04-03;3202;;;186.0;SP
São Paulo;Brazil;2020-04-02;2815;;;164.0;SP
Brasília;Brazil;2020-04-02;400;;;5.0;DF
Brasília;Brazil;2020-04-01;370;;;4.0;DF
Maceió;Brazil;2020-04-02;13;;;1.0;AL
Maceió;Brazil;2020-04-01;13;;;1.0;AL
São Paulo;Brazil;2020-04-01;2418;;;144.0;SP
São Paulo;Brazil;2020-03-31;1885;;;121.0;SP
Brasília;Brazil;2020-03-31;333;;;3.0;DF
Brasília;Brazil;2020-03-30;312;;;2.0;DF
Maceió;Brazil;2020-03-31;13;;;1.0;AL
Maceió;Brazil;2020-03-30;12;;;0.0;AL
São Paulo;Brazil;2020-03-30;1233;;;103.0;SP
São Paulo;Brazil;2020-03-27;1044;;;62.0;SP
Brasília;Brazil;2020-03-29;298;;;1.0;DF
Brasília;Brazil;2020-03-28;260;;;0.0;DF
Brasília;Brazil;2020-03-27;241;;;0.0;DF
Maceió;Brazil;2020-03-29;12;;;0.0;AL
Maceió;Brazil;2020-03-28;13;;;0.0;AL
Maceió;Brazil;2020-03-27;11;;;0.0;AL
Maceió;Brazil;2020-03-26;10;;;0.0;AL
São Paulo;Brazil;2020-03-26;899;;;53.0;SP
São Paulo;Brazil;2020-03-25;722;;;44.0;SP
Brasília;Brazil;2020-03-26;201;;;0.0;DF
Brasília;Brazil;2020-03-25;191;;;0.0;DF
Brasília;Brazil;2020-03-24;161;;;0.0;DF
Brasília;Brazil;2020-03-23;138;;;0.0;DF
